ProjectIdentifier,staSeq,locationName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityTime,ActivityTimeZoneCodetimezone,ActivityRelativeDepthName,ActivityTopDepthMeasureValue,ActivityTopDepthMeasureUnitCode,ActivityBottomDepthMeasureValue,ActivityBottomDepthMeasureUnitCode,SampleCollectionMethodIdentifier,SampleCollectionEquipmentName,SampleCollectionEquipmentCommentText,ActivityConductingOrganizationText,ActivityCommentText,LaboratoryName,ActivityYlat,ActivityXlong,ActivityhorizCollectMethod,ActivityhorizRefDatum,LabAccession,CharacteristicName,MethodSpeciationName,ResultDetectionConditionText,ResultMeasureValue,ResultMeasureUnitCode,ResultValueTypeName,ResultSampleFractionText,ResultStatusIdentifier,ResultAnalyticalMethodIdentifier,ResultAnalyticalMethodContext,AnalysisStartDate,DetectionQuantitationTypeName,DetectionQuantitationLimitMeasureValue,DetectionLimitMeasureUnitCode,ResultComment,rstLastUpdateDate,actLastUpdateDate
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210414-1135-CHEM-0m,Sample-Routine,Water,"Surface Water",2021-04-14,11:35:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WL-1AB,CESE,41.956130,-73.443380,GPS-Unspecified,WGS84,210116-001,Chloride,None,NULL,26,ppm,Actual,Total,Final,300.0,USEPA,2021-06-04,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210414-1230-CHEM-5m,Sample-Routine,Water,"Surface Water",2021-04-14,12:30:00,EDT,Midwater,5.00,m,5.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1C,CESE,41.956130,-73.443380,GPS-Unspecified,WGS84,210116-002,Chloride,None,NULL,25.5,ppm,Actual,Total,Final,300.0,USEPA,2021-06-04,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210628-1230-CHEM-0m,Sample-Routine,Water,"Surface Water",2021-06-28,12:30:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WL-1AB,CESE,41.456190,-72.446780,GPS-Unspecified,WGS84,210234-001,Chloride,None,NULL,27.4,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210628-1237-CHEM-7m,Sample-Routine,Water,"Surface Water",2021-06-28,12:37:00,EDT,Midwater,7.00,m,7.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1C,CESE,41.456190,-72.446780,GPS-Unspecified,WGS84,210234-002,Chloride,None,NULL,26.7,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210628-1245-CHEM-29m,Sample-Routine,Water,"Surface Water",2021-06-28,12:45:00,EDT,"Near Bottom",29.00,m,29.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1D,CESE,41.456190,-72.446780,GPS-Unspecified,WGS84,210234-003,Chloride,None,NULL,28.1,ppm,Actual,Total,Final,300.0,USEPA,2021-07-15,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210728-1152-CHEM-0m,Sample-Routine,Water,"Surface Water",2021-07-28,11:52:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WL-1AB,CESE,41.956060,-73.446940,GPS-Unspecified,WGS84,210299-004,Chloride,None,NULL,21.1,ppm,Actual,Total,Final,300.0,USEPA,2021-09-08,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210728-1200-CHEM-7m,Sample-Routine,Water,"Surface Water",2021-07-28,12:00:00,EDT,Midwater,7.00,m,7.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1C,CESE,41.956060,-73.446940,GPS-Unspecified,WGS84,210299-005,Chloride,None,NULL,27.2,ppm,Actual,Total,Final,300.0,USEPA,2021-09-08,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210728-1205-CHEM-29m,Sample-Routine,Water,"Surface Water",2021-07-28,12:05:00,EDT,"Near Bottom",29.00,m,29.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1D,CESE,41.956060,-73.446940,GPS-Unspecified,WGS84,210299-006,Chloride,None,NULL,26.6,ppm,Actual,Total,Final,300.0,USEPA,2021-09-08,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210914-1200-CHEM-0m,Sample-Routine,Water,"Surface Water",2021-09-14,12:00:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WL-1AB,CESE,41.956160,-73.446880,GPS-Unspecified,WGS84,210442-004,Chloride,None,NULL,27.9,ppm,Actual,Total,Final,300.0,USEPA,2021-11-01,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210914-1215-CHEM-7m,Sample-Routine,Water,"Surface Water",2021-09-14,12:15:00,EDT,Midwater,7.00,m,7.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1C,CESE,41.956160,-73.446880,GPS-Unspecified,WGS84,210442-005,Chloride,None,NULL,28.3,ppm,Actual,Total,Final,300.0,USEPA,2021-11-01,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20210914-1235-CHEM-29m,Sample-Routine,Water,"Surface Water",2021-09-14,12:35:00,EDT,"Near Bottom",29.00,m,29.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1D,CESE,41.956160,-73.446880,GPS-Unspecified,WGS84,210442-006,Chloride,None,NULL,28.4,ppm,Actual,Total,Final,300.0,USEPA,2021-11-01,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20211102-1038-CHEM-0m,Sample-Routine,Water,"Surface Water",2021-11-02,10:38:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WL-1AB,CESE,41.956220,-73.446810,GPS-Unspecified,WGS84,210471-001,Chloride,None,NULL,29,ppm,Actual,Total,Final,300.0,USEPA,2021-11-11,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20211102-1105-CHEM-10.5m,Sample-Routine,Water,"Surface Water",2021-11-02,11:05:00,EDT,Midwater,10.50,m,10.50,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1C,CESE,41.956220,-73.446810,GPS-Unspecified,WGS84,210471-002,Chloride,None,NULL,29.4,ppm,Actual,Total,Final,300.0,USEPA,2021-11-11,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20211102-1130-CHEM-29m,Sample-Routine,Water,"Surface Water",2021-11-02,11:30:00,EDT,"Near Bottom",29.00,m,29.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WL-1D,CESE,41.956220,-73.446810,GPS-Unspecified,WGS84,210471-003,Chloride,None,NULL,28.5,ppm,Actual,Total,Final,300.0,USEPA,2021-11-11,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2022-12-22 10:09:27"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20220405-1045-CHEM-0m,Sample-Routine,Water,"Surface Water",2022-04-05,10:45:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WON-1AB,CESE,41.956110,-73.446790,GPS-Unspecified,WGS84,220094-001,Chloride,None,NULL,29.9,ppm,Actual,Total,Final,300.0,USEPA,2022-09-02,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-10-30 11:23:50","2022-12-22 10:09:28"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20220405-1120-CHEM-15m,Sample-Routine,Water,"Surface Water",2022-04-05,11:20:00,EDT,Midwater,15.00,m,15.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WON-1C,CESE,41.956110,-73.446790,GPS-Unspecified,WGS84,220094-002,Chloride,None,NULL,30.6,ppm,Actual,Total,Final,300.0,USEPA,2022-09-02,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-10-30 11:23:50","2022-12-22 10:09:28"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20220405-1132-CHEM-28m,Sample-Routine,Water,"Surface Water",2022-04-05,11:32:00,EDT,"Near Bottom",28.00,m,28.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WON-1D,CESE,41.956110,-73.446790,GPS-Unspecified,WGS84,220094-003,Chloride,None,NULL,30.3,ppm,Actual,Total,Final,300.0,USEPA,2022-09-02,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-10-30 11:23:50","2022-12-22 10:09:28"
lakesNLA,16154,"Wononscopomuc Lake",16154-SR-20220719-1105-CHEM-0m,Sample-Routine,Water,"Surface Water",2022-07-19,11:05:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WON-1AB,CESE,41.956140,-73.446690,GPS-Unspecified,WGS84,220180-004,Chloride,None,NULL,17.9,ppm,Actual,Total,Final,300.0,USEPA,2022-09-07,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-11-05 08:23:49","2022-12-22 10:09:28"
lakesNLA,16154,"Wononscopomuc Lake",16154-SR-20220719-1145-CHEM-5.5m,Sample-Routine,Water,"Surface Water",2022-07-19,11:45:00,EDT,Midwater,5.50,m,5.50,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WON-1C,CESE,41.956140,-73.446690,GPS-Unspecified,WGS84,220180-005,Chloride,None,NULL,9.9,ppm,Actual,Total,Final,300.0,USEPA,2022-09-07,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-11-05 08:23:49","2022-12-22 10:09:28"
lakesNLA,16154,"Wononscopomuc Lake",16154-SR-20220719-1155-CHEM-29.4m,Sample-Routine,Water,"Surface Water",2022-07-19,11:55:00,EDT,"Near Bottom",29.40,m,29.40,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WON-1D,CESE,41.956140,-73.446690,GPS-Unspecified,WGS84,220180-006,Chloride,None,NULL,30.1,ppm,Actual,Total,Final,300.0,USEPA,2022-09-07,"Method Detection Level",0.2,ppm,"* Result analyzed outside holding time due to equipment supply chain delay. ","2023-11-05 08:23:49","2022-12-22 10:09:28"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20221103-1030-CHEM-0m,Sample-Routine,Water,"Surface Water",2022-11-03,10:30:00,EDT,Surface,0.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Integrated Sampling Tube",ctdeepWplrAbm,WON-1AB,CESE,41.956150,-73.446940,GPS-Unspecified,WGS84,220363-002,Chloride,None,NULL,29.9,ppm,Actual,Total,Final,300.0,USEPA,2022-11-25,"Method Detection Level",0.2,ppm,NULL,"2023-12-07 16:44:58","2022-12-22 10:09:28"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20221103-1105-CHEM-11m,Sample-Routine,Water,"Surface Water",2022-11-03,11:05:00,EDT,Midwater,11.00,m,11.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WON-1C,CESE,41.956150,-73.446940,GPS-Unspecified,WGS84,220363-003,Chloride,None,NULL,30.6,ppm,Actual,Total,Final,300.0,USEPA,2022-11-25,"Method Detection Level",0.2,ppm,NULL,"2023-12-07 16:44:58","2022-12-22 10:09:28"
lakesABM,16154,"Wononscopomuc Lake",16154-SR-20221103-1115-CHEM-28.5m,Sample-Routine,Water,"Surface Water",2022-11-03,11:15:00,EDT,"Near Bottom",28.50,m,28.50,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Sampler",ctdeepWplrAbm,WON-1D,CESE,41.956150,-73.446940,GPS-Unspecified,WGS84,220363-004,Chloride,None,NULL,28.8,ppm,Actual,Total,Final,300.0,USEPA,2022-11-25,"Method Detection Level",0.2,ppm,NULL,"2023-12-07 16:44:58","2022-12-22 10:09:28"
lakesABM,16156,"Lake Winchester",16156-SR-20160504-105500-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2016-05-04,10:55:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"WIN-1AB, Integrated Sample 0-2M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,160124-007,Chloride,None,NULL,11.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-05-19,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16156,"Lake Winchester",16156-SR-20160504-110000-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2016-05-04,11:00:00,EDT,Midwater,2.00,m,2.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WIN-1C Sample at Depth 2M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,160124-008,Chloride,None,NULL,11.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-05-19,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16156,"Lake Winchester",16156-SR-20160504-110500-CHEM-4.5m,Sample-Routine,Water,"Surface Water",2016-05-04,11:05:00,EDT,"Near Bottom",4.50,m,4.50,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WIN-1D Sample at Depth 4.5M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,160124-009,Chloride,None,NULL,11.3,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-05-19,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16156,"Lake Winchester",16156-SR-20160718-112500-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2016-07-18,11:25:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"WIN-1AB Integrated Sample 0-2M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,160237-001,Chloride,None,NULL,12.2,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16156,"Lake Winchester",16156-SR-20160718-114000-CHEM-3.0m,Sample-Routine,Water,"Surface Water",2016-07-18,11:40:00,EDT,Midwater,3.00,m,3.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WIN-1C Sample at Depth 3M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,160237-002,Chloride,None,NULL,12.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16156,"Lake Winchester",16156-SR-20160718-114500-CHEM-4.5m,Sample-Routine,Water,"Surface Water",2016-07-18,11:45:00,EDT,"Near Bottom",4.50,m,4.50,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WIN-1D Sample at Depth 4.5M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,160237-003,Chloride,None,NULL,12.1,ppm,Actual,Total,Preliminary,300.0,USEPA,2016-07-27,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesNLA,16165,"West Hill Pond",16165-SR-20170626-104500-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2017-06-26,10:45:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"NLA2017_CT-10003 sampling. WHP-1AB, Integrated Sample (PVC) 0-2M, CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,170123-003,Chloride,None,NULL,7.8,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-06,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesNLA,16165,"West Hill Pond",16165-SR-20170626-115500-CHEM-7.0m,Sample-Routine,Water,"Surface Water",2017-06-26,11:55:00,EDT,Midwater,7.00,m,7.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"NLA2017_CT-10003 sampling. WHP-1C, Sample at Depth 7M CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,170123-004,Chloride,None,NULL,7.8,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-06,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesNLA,16165,"West Hill Pond",16165-SR-20170626-120500-CHEM-19.0m,Sample-Routine,Water,"Surface Water",2017-06-26,12:05:00,EDT,"Near Bottom",19.00,m,19.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"NLA2017_CT-10003 sampling. WHP-1D, Sample at Depth 19M CHEM to CESE. WT",CESE,NULL,NULL,NULL,NULL,170123-005,Chloride,None,NULL,8,ppm,Actual,Total,Preliminary,300.0,USEPA,2017-07-06,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20180426-104000-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2018-04-26,10:40:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"WHP-1AB, Integrated Sample 0-2m",CESE,NULL,NULL,NULL,NULL,180081-003,Chloride,None,NULL,9.3,ppm,Actual,Total,Preliminary,300.0,USEPA,2018-05-30,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20180919-100000-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2018-09-19,10:00:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"WHP-1AB, Integrated Sample 0-2m",CESE,NULL,NULL,NULL,NULL,180304-008,Chloride,None,NULL,8.9,ppm,Actual,Total,Preliminary,300.0,USEPA,2018-10-04,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20180919-101500-CHEM-9.0m,Sample-Routine,Water,"Surface Water",2018-09-19,10:15:00,EDT,Midwater,9.00,m,9.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WHP-1C, Sample at Depth 9m",CESE,NULL,NULL,NULL,NULL,180304-009,Chloride,None,NULL,8.7,ppm,Actual,Total,Preliminary,300.0,USEPA,2018-10-04,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20180919-102000-CHEM-19.5m,Sample-Routine,Water,"Surface Water",2018-09-19,10:20:00,EDT,"Near Bottom",19.50,m,19.50,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WHP-1D, Sample at Depth 19.5m",CESE,NULL,NULL,NULL,NULL,180304-010,Chloride,None,NULL,9.1,ppm,Actual,Total,Preliminary,300.0,USEPA,2018-10-04,"Method Detection Level",0.2,ppm,Chloride,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20190530-124500-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2019-05-30,12:45:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"WHP-1AB, Integrated Sample 0-2m",CESE,NULL,NULL,NULL,NULL,190182-008,Chloride,None,NULL,8.3,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-06-25,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20190530-124600-CHEM-6.0m,Sample-Routine,Water,"Surface Water",2019-05-30,12:46:00,EDT,Midwater,6.00,m,6.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WHP-1C, Sample at Depth 6m",CESE,NULL,NULL,NULL,NULL,190182-009,Chloride,None,NULL,8.5,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-06-25,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20190530-125000-CHEM-17.0m,Sample-Routine,Water,"Surface Water",2019-05-30,12:50:00,EDT,"Near Bottom",17.00,m,17.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WHP-1D, Sample at Depth 17m",CESE,NULL,NULL,NULL,NULL,190182-010,Chloride,None,NULL,8.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-06-25,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20190718-121000-CHEM-2.0m,Sample-Routine,Water,"Surface Water",2019-07-18,12:10:00,EDT,Surface,2.00,m,2.00,m,grabSampleSurfaceChemistry,"Water Bottle","Vinyl Tube",ctdeepWplrAbm,"WHP-1AB, Integrated Sample 0-2m",CESE,NULL,NULL,NULL,NULL,190270-001,Chloride,None,NULL,8.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-08-02,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20190718-121500-CHEM-7.0m,Sample-Routine,Water,"Surface Water",2019-07-18,12:15:00,EDT,Midwater,7.00,m,7.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WHP-1C, Sample at Depth 7m",CESE,NULL,NULL,NULL,NULL,190270-002,Chloride,None,NULL,8.3,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-08-02,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
lakesABM,16165,"West Hill Pond",16165-SR-20190718-122500-CHEM-17.0m,Sample-Routine,Water,"Surface Water",2019-07-18,12:25:00,EDT,"Near Bottom",17.00,m,17.00,m,grabSampleDiscreteChemistry,"Water Bottle","Van Dorn Bottle",ctdeepWplrAbm,"WHP-1D, Sample at Depth 17m",CESE,NULL,NULL,NULL,NULL,190270-003,Chloride,None,NULL,8.4,ppm,Actual,Total,Preliminary,300.0,USEPA,2019-08-02,"Method Detection Level",0.2,ppm,NULL,"2023-09-29 17:08:56","2023-09-29 15:27:15"
TMDL,16178,"Fivemile Brook",16178-SR-20200903-120000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-03,12:00:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200247-005,Chloride,None,NULL,48.7,ppm,Actual,Total,Final,300.0,USEPA,2020-09-21,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,16178,"Fivemile Brook",16178-SR-20200921-095000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-21,09:50:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200273-005,Chloride,None,NULL,55.1,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,16178,"Fivemile Brook",16178-SR-20200923-094500-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-23,09:45:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200274-005,Chloride,None,NULL,55.2,ppm,Actual,Total,Final,300.0,USEPA,2020-09-30,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,16178,"Fivemile Brook",16178-SR-20200925-093000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-25,09:30:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200275-005,Chloride,None,NULL,54.8,ppm,Actual,Total,Final,300.0,USEPA,2020-10-01,"Method Detection Level",0.2,ppm,*,"2022-12-28 16:40:09","2021-10-27 11:29:48"
TMDL,16179,"Eightmile Brook",16179-SR-20200903-125000-CHEM-0.1m,Sample-Routine,Water,"Surface Water",2020-09-03,12:50:00,EDT,Surface,0.10,m,0.10,m,grabSampleSurfaceChemistry,"Water Bottle","HDPE Bottle",ctdeepWplrAbm,"CESE General Chemistry",CESE,NULL,NULL,NULL,NULL,200247-008,Chloride,None,NULL,43.4,ppm,Actual,Total,Final,300.0,USEPA,2020-09-21,"Method Detection Level",0.2,ppm,NULL,"2022-12-28 16:40:09","2021-10-27 11:29:48"
